N,P,K,temperature,humidity,ph,rainfall,label
79,58,40,21.45,89.82,6.62,204.88,rice
76,39,31,25.92,91.75,5.84,252.89,rice
66,43,36,21.44,82.44,6.07,244.11,rice
78,45,34,22.16,85.98,6.6,206.67,rice
81,53,29,24.96,78.89,6.63,213.1,rice
43,33,40,24.25,77.68,6.66,186.15,rice
78,37,36,23.72,77.9,6.25,266.19,rice
68,53,33,24.92,89.41,5.41,212.09,rice
91,45,42,22.09,82.63,6.34,271.03,rice
85,49,37,22.38,80.04,6.56,223.37,rice
85,63,45,22.78,88.21,6.24,174.86,rice
59,32,37,23.65,90.58,6.53,229.43,rice
96,29,41,25.53,74.81,6.86,246.15,rice
71,52,53,24.05,83.44,6.22,210.5,rice
96,40,40,22.41,84.59,6.53,267.13,rice
69,44,34,22.49,84.09,6.7,208.34,rice
97,57,42,28.29,78.33,5.9,182.64,rice
109,52,39,24.3,76.57,7.38,239.88,rice
82,52,42,24.16,78.25,6.59,292.46,rice
106,59,36,21.13,81.57,6.42,268.83,rice
46,59,39,22.53,77.14,5.74,260.7,rice
81,36,32,22.76,90.55,6.3,190.91,rice
75,44,23,23.46,81.05,6.68,291.47,rice
102,44,33,30.03,82.5,6.41,235.28,rice
83,45,36,22.23,82.04,6.18,214.61,rice
82,44,49,16.97,87.66,6.9,173.8,rice
73,44,31,21.66,76.65,7.1,264.07,rice
105,52,33,22.29,84.65,5.91,257.39,rice
75,44,44,24.71,80.4,6.86,203.57,rice
92,51,38,24.42,75.94,6.77,230.45,rice
67,56,16,18.07,56.44,6.44,45.49,maize
108,31,25,22.93,64.47,5.98,70.69,maize
76,56,19,22.75,63.0,6.18,69.32,maize
46,37,21,22.81,63.99,6.21,69.91,maize
67,41,19,19.36,67.25,5.52,80.14,maize
85,50,22,27.3,70.58,5.46,45.51,maize
65,48,21,20.12,66.03,5.9,55.53,maize
51,40,13,19.37,70.8,5.82,104.19,maize
85,49,15,24.4,61.83,6.25,103.1,maize
75,57,16,22.2,74.74,5.95,91.89,maize
89,43,21,25.22,68.42,5.57,53.79,maize
72,47,21,22.83,57.66,6.35,73.86,maize
87,56,22,23.68,64.61,5.54,71.14,maize
80,50,13,19.06,70.79,6.18,74.92,maize
77,48,22,20.75,65.53,6.02,58.18,maize
71,49,17,26.07,60.08,6.13,58.1,maize
103,49,23,17.84,66.47,6.56,65.93,maize
96,43,24,29.2,63.0,6.02,86.5,maize
105,43,17,21.45,57.61,5.83,49.64,maize
63,47,19,26.95,59.51,6.59,61.49,maize
76,53,14,23.45,65.92,6.4,69.04,maize
121,42,16,20.43,61.94,5.95,82.54,maize
102,43,15,23.71,61.96,6.45,67.74,maize
49,60,26,20.46,62.87,6.31,69.72,maize
88,64,18,19.91,57.41,5.91,64.2,maize
109,43,19,22.25,71.54,7.21,56.74,maize
68,56,21,27.84,68.21,6.06,73.56,maize
96,54,21,25.5,71.43,6.75,74.43,maize
73,49,23,19.85,67.03,6.04,65.13,maize
100,49,19,18.22,69.1,6.46,97.15,maize
71,49,19,27.03,64.48,6.31,73.82,maize
80,44,19,25.52,59.35,6.25,54.2,maize
98,35,16,23.43,73.61,6.17,56.37,maize
110,36,10,23.62,62.24,5.79,75.33,maize
81,43,13,24.92,68.58,6.16,92.4,maize
57,35,16,22.16,66.34,6.1,69.98,maize
54,59,18,25.65,66.88,6.38,73.25,maize
85,53,24,22.89,68.9,6.16,86.3,maize
64,62,18,18.01,65.7,5.93,77.31,maize
65,44,11,20.94,51.67,5.57,76.11,maize
91,51,15,22.16,64.98,5.74,87.25,maize
92,46,19,22.93,53.77,6.1,54.47,maize
58,45,26,24.22,61.86,6.43,85.69,maize
93,48,16,24.39,67.16,6.56,74.23,maize
95,43,24,22.89,76.41,5.92,90.74,maize
80,42,17,21.34,67.33,6.41,56.09,maize
76,65,25,23.61,65.21,6.25,73.9,maize
58,45,12,23.5,68.56,6.01,88.31,maize
54,36,19,25.44,74.26,6.02,80.88,maize
76,46,22,24.26,56.33,6.79,85.4,maize
65,51,20,23.08,61.97,5.93,64.32,maize
98,52,17,24.62,49.33,6.66,38.6,maize
70,39,13,25.78,62.43,6.34,64.0,maize
85,48,13,25.29,62.28,5.58,58.28,maize
104,54,17,21.25,63.23,7.03,70.43,maize
84,56,19,21.52,63.92,6.17,64.14,maize
90,48,21,22.06,65.43,5.4,78.44,maize
83,55,7,28.57,64.23,6.64,49.1,maize
88,39,16,28.04,63.95,6.29,77.75,maize
85,49,20,29.51,64.68,6.28,80.46,maize
96,57,21,18.87,73.98,5.74,69.24,maize
63,47,20,23.26,67.32,6.85,71.5,maize
72,55,23,18.62,68.29,6.48,60.24,maize
101,46,19,21.78,65.09,5.76,43.1,maize
105,41,15,15.84,61.49,5.67,89.33,maize
95,42,28,25.25,63.21,5.2,99.06,maize
51,34,23,29.62,72.61,6.43,73.62,maize
92,54,20,22.61,64.66,5.9,60.49,maize
46,47,15,18.99,65.99,6.76,78.47,maize
48,40,22,19.35,63.76,6.42,50.17,maize
78,37,16,23.26,56.24,6.38,64.41,maize
86,49,24,22.68,62.64,6.25,72.85,maize
77,48,16,20.31,57.29,6.9,46.04,maize
64,42,22,21.42,71.86,5.93,68.88,maize
61,65,14,23.23,68.49,6.37,61.92,maize
74,48,18,25.19,77.16,5.98,44.15,maize
75,68,15,27.22,74.23,5.98,73.23,maize
106,44,18,20.55,59.42,5.94,46.34,maize
77,41,19,17.63,66.82,6.53,34.79,maize
83,57,14,27.32,67.3,5.92,63.86,maize
87,48,21,19.54,65.93,5.63,63.03,maize
60,42,23,25.57,68.35,5.76,59.95,maize
98,49,28,23.48,66.06,6.08,66.7,maize
74,53,22,19.94,57.68,5.47,72.32,maize
57,30,20,29.78,64.97,6.54,65.93,maize
75,55,17,23.1,66.77,5.93,79.58,maize
73,41,21,19.6,65.15,6.2,80.99,maize
85,47,22,26.47,68.07,6.2,45.02,maize
57,45,16,21.74,65.31,6.41,63.64,maize
85,48,11,19.48,64.21,5.72,73.7,maize
104,57,18,26.77,65.82,6.07,55.5,maize
71,44,19,22.78,65.02,6.37,82.56,maize
94,36,8,25.1,57.48,6.11,47.15,maize
44,52,22,20.57,50.75,5.98,70.58,maize
50,49,18,24.04,65.66,5.81,82.65,maize
74,47,15,20.97,60.13,6.13,90.38,maize
52,35,24,21.67,61.32,6.62,55.62,maize
109,53,17,28.77,61.67,6.5,69.19,maize
100,60,19,20.04,67.53,5.93,94.9,maize
79,45,19,18.26,59.66,6.68,54.85,maize
29,71,87,20.09,19.79,7.0,65.78,chickpea
55,64,77,21.19,18.47,7.48,101.65,chickpea
33,74,79,19.28,21.39,7.5,85.38,chickpea
50,64,73,16.92,10.9,8.12,68.97,chickpea
37,64,81,20.27,19.38,7.07,78.33,chickpea
42,65,90,19.68,19.0,7.57,91.73,chickpea
41,56,81,17.63,15.21,7.53,92.38,chickpea
40,69,90,19.23,24.61,7.53,62.39,chickpea
47,70,88,20.01,16.38,6.81,77.91,chickpea
31,62,83,21.81,17.98,6.82,84.45,chickpea
51,62,78,18.83,14.45,7.56,78.79,chickpea
44,59,75,20.1,15.68,7.99,76.0,chickpea
42,74,69,15.63,12.22,7.81,74.48,chickpea
65,62,80,21.58,22.82,8.12,92.08,chickpea
50,71,84,17.81,14.35,7.3,78.3,chickpea
35,72,85,18.96,21.23,6.84,78.06,chickpea
32,52,78,18.58,21.34,7.55,69.76,chickpea
58,76,83,18.39,13.92,7.15,90.89,chickpea
58,79,75,16.78,17.22,6.59,83.23,chickpea
38,63,67,19.72,15.2,6.83,51.28,chickpea
39,81,90,17.98,14.99,7.49,70.02,chickpea
43,73,87,18.62,16.19,6.95,71.73,chickpea
37,69,85,17.35,21.28,7.19,79.79,chickpea
32,47,85,20.13,15.96,7.33,85.16,chickpea
24,62,84,16.54,17.68,6.76,84.66,chickpea
39,54,87,17.48,14.37,7.38,91.49,chickpea
29,67,82,20.05,17.33,7.15,71.72,chickpea
40,58,58,19.59,19.51,6.35,69.9,chickpea
46,83,79,17.49,16.25,7.85,73.54,chickpea
32,63,72,19.02,21.67,7.43,77.48,chickpea
37,54,85,18.66,16.26,8.58,82.99,chickpea
32,63,87,19.0,12.49,7.67,73.32,chickpea
58,75,75,21.11,17.0,7.64,84.85,chickpea
31,61,86,18.2,15.59,6.92,84.24,chickpea
60,58,79,21.34,16.56,7.48,69.38,chickpea
44,65,85,20.94,24.57,7.53,83.26,chickpea
41,64,81,18.27,17.31,7.83,69.93,chickpea
51,77,78,14.98,14.98,7.82,79.77,chickpea
30,62,84,19.78,16.08,7.15,76.08,chickpea
30,79,76,20.99,21.36,7.7,75.68,chickpea
44,66,72,19.38,13.26,7.78,75.35,chickpea
42,69,77,19.86,15.38,7.65,66.54,chickpea
41,82,71,17.58,18.34,7.37,83.51,chickpea
44,72,86,19.54,16.08,7.57,99.0,chickpea
38,59,86,18.58,10.28,7.64,74.65,chickpea
39,69,80,20.08,15.49,7.51,77.4,chickpea
47,71,72,20.75,15.19,7.62,83.67,chickpea
58,65,76,18.77,15.89,7.62,63.84,chickpea
29,58,85,21.88,16.49,7.23,80.7,chickpea
51,59,80,20.56,18.3,7.38,90.01,chickpea
12,72,74,15.5,18.33,7.85,78.63,chickpea
49,79,88,21.75,19.03,7.33,63.98,chickpea
37,60,94,18.48,17.17,7.52,80.44,chickpea
56,62,80,17.46,12.84,7.06,79.63,chickpea
35,61,69,18.65,12.29,7.6,80.82,chickpea
25,64,73,19.37,20.82,6.55,81.15,chickpea
38,72,80,17.45,15.84,6.98,90.76,chickpea
40,82,78,17.52,12.26,6.58,64.16,chickpea
42,71,67,20.41,15.35,7.36,96.12,chickpea
48,64,72,14.93,14.64,7.22,70.13,chickpea
38,67,77,17.63,17.31,7.48,69.1,chickpea
54,66,79,20.07,17.5,7.68,82.87,chickpea
33,69,70,19.0,16.7,7.22,78.71,chickpea
21,62,79,19.09,13.72,7.81,71.34,chickpea
49,70,74,22.0,13.22,7.67,90.01,chickpea
33,78,77,19.32,17.58,7.25,88.11,chickpea
47,53,88,15.81,19.9,7.75,69.09,chickpea
35,58,77,18.25,19.14,7.82,93.96,chickpea
34,65,67,17.35,19.69,7.95,67.66,chickpea
34,66,80,17.34,18.07,7.11,79.86,chickpea
45,67,75,18.6,16.53,7.15,77.41,chickpea
55,71,76,20.05,15.8,7.77,83.7,chickpea
38,70,68,16.77,13.22,7.36,97.33,chickpea
62,72,82,15.56,15.17,6.98,73.79,chickpea
38,63,65,20.15,13.58,7.4,100.74,chickpea
30,46,76,20.78,22.68,6.81,84.97,chickpea
35,66,97,16.09,17.56,7.49,90.86,chickpea
40,69,76,19.28,15.77,7.55,76.3,chickpea
43,66,86,18.71,11.48,7.8,70.94,chickpea
33,62,88,14.96,26.21,7.72,82.23,chickpea
39,69,82,19.96,18.47,7.34,78.03,chickpea
38,65,86,19.87,10.0,7.56,81.95,chickpea
39,63,86,20.51,14.48,7.46,70.28,chickpea
26,61,85,20.52,18.34,7.59,85.16,chickpea
33,70,84,20.16,20.37,7.58,83.51,chickpea
50,66,72,18.51,14.57,7.03,78.55,chickpea
32,64,65,19.18,16.8,6.97,86.59,chickpea
49,54,73,17.42,13.98,7.63,78.06,chickpea
37,50,83,16.57,16.98,7.41,93.61,chickpea
26,42,80,22.04,20.52,7.38,75.08,chickpea
48,59,82,19.71,19.98,8.4,83.92,chickpea
34,66,66,17.55,15.57,7.09,81.52,chickpea
31,75,79,18.78,15.82,7.36,88.25,chickpea
31,61,76,16.38,14.34,7.11,88.74,chickpea
42,68,84,18.55,17.97,7.26,82.65,chickpea
34,47,78,21.36,19.58,7.69,92.36,chickpea
40,68,74,18.23,18.65,7.78,78.61,chickpea
35,67,83,16.2,10.0,7.08,67.79,chickpea
34,65,75,21.41,17.78,7.42,86.22,chickpea
28,75,78,20.01,13.58,6.68,88.18,chickpea
23,59,16,22.35,18.03,6.19,87.89,kidneybeans
25,64,22,19.01,21.11,5.71,85.86,kidneybeans
25,62,19,18.11,13.91,5.64,154.15,kidneybeans
26,66,18,20.14,23.24,5.35,128.19,kidneybeans
25,72,21,20.14,23.62,5.88,98.82,kidneybeans
15,67,26,17.62,17.2,5.75,106.92,kidneybeans
21,68,19,23.08,16.8,5.45,103.83,kidneybeans
6,65,26,20.14,22.29,5.32,93.57,kidneybeans
16,64,25,21.22,18.27,5.77,115.86,kidneybeans
29,79,15,18.48,17.83,5.63,115.23,kidneybeans
27,66,18,20.4,19.09,6.33,73.75,kidneybeans
21,83,20,19.72,20.53,5.65,133.36,kidneybeans
2,79,14,19.57,20.31,5.88,73.94,kidneybeans
23,83,14,20.48,19.61,5.83,106.28,kidneybeans
14,70,27,19.72,23.76,5.31,86.77,kidneybeans
23,78,21,19.47,21.6,5.32,117.99,kidneybeans
27,63,18,20.63,20.29,5.68,147.89,kidneybeans
18,64,17,21.59,21.06,5.51,132.33,kidneybeans
31,62,12,22.12,19.55,5.94,66.5,kidneybeans
27,57,22,20.13,18.74,5.58,119.63,kidneybeans
20,71,27,16.97,26.45,5.73,87.92,kidneybeans
9,65,23,19.84,26.13,5.26,105.66,kidneybeans
9,69,23,19.26,13.79,5.76,114.63,kidneybeans
23,76,15,21.46,25.18,5.17,112.29,kidneybeans
15,66,21,19.13,19.57,5.71,84.16,kidneybeans
11,72,15,21.43,22.99,5.18,92.35,kidneybeans
29,59,18,21.02,23.95,5.62,93.95,kidneybeans
31,80,23,20.27,19.18,5.45,116.35,kidneybeans
23,78,22,17.09,24.76,5.4,98.22,kidneybeans
22,82,32,21.31,21.05,5.86,123.65,kidneybeans
17,81,20,21.1,23.6,5.83,122.68,kidneybeans
15,62,15,20.98,23.94,5.84,139.39,kidneybeans
19,72,15,19.33,23.69,5.95,100.02,kidneybeans
19,54,18,21.88,23.33,5.85,106.9,kidneybeans
20,61,22,20.94,23.08,5.54,62.83,kidneybeans
28,63,16,21.49,20.42,6.02,118.24,kidneybeans
25,56,24,20.62,20.49,5.74,70.38,kidneybeans
23,58,14,17.06,24.94,5.51,136.57,kidneybeans
15,53,15,22.57,21.13,5.54,109.1,kidneybeans
24,75,25,19.38,17.62,5.58,111.11,kidneybeans
12,59,21,20.0,21.7,5.47,101.29,kidneybeans
12,74,24,16.41,18.81,5.25,92.9,kidneybeans
19,55,16,18.09,22.22,5.72,91.47,kidneybeans
21,62,18,23.45,25.62,5.31,122.49,kidneybeans
26,57,23,23.18,18.23,5.42,126.25,kidneybeans
22,71,21,20.88,17.62,6.01,129.29,kidneybeans
18,66,13,21.13,23.32,5.68,128.39,kidneybeans
17,71,15,20.05,21.08,5.77,98.51,kidneybeans
18,73,18,16.89,26.85,6.11,80.05,kidneybeans
25,62,21,20.69,20.9,5.46,92.09,kidneybeans
12,60,19,18.67,23.65,6.15,94.3,kidneybeans
21,70,21,20.25,23.83,5.84,81.15,kidneybeans
26,74,16,20.18,23.65,5.64,127.36,kidneybeans
38,60,14,20.71,23.76,5.63,134.97,kidneybeans
9,72,17,23.54,27.58,5.47,94.91,kidneybeans
26,63,19,20.15,15.84,5.7,92.11,kidneybeans
16,78,14,21.73,20.76,5.62,121.71,kidneybeans
22,71,23,19.44,19.76,5.37,89.39,kidneybeans
43,76,14,17.46,23.05,5.86,116.88,kidneybeans
17,65,21,20.27,14.94,5.63,88.87,kidneybeans
21,90,21,19.47,24.37,5.84,114.3,kidneybeans
24,83,15,21.05,18.82,5.87,87.53,kidneybeans
16,64,23,21.94,17.86,5.72,91.71,kidneybeans
9,65,18,24.95,22.9,5.29,94.6,kidneybeans
28,83,13,16.34,27.21,5.82,88.53,kidneybeans
24,45,20,20.76,24.37,5.4,107.61,kidneybeans
12,69,16,19.28,18.61,5.9,123.07,kidneybeans
18,67,14,19.5,21.45,6.49,83.66,kidneybeans
31,74,21,23.62,22.72,5.82,104.84,kidneybeans
29,75,17,17.46,20.99,5.46,104.63,kidneybeans
29,63,19,20.22,24.15,5.03,93.77,kidneybeans
21,76,18,16.35,23.46,5.51,82.11,kidneybeans
15,65,17,15.69,24.29,6.08,118.93,kidneybeans
10,65,19,21.3,23.61,5.48,107.54,kidneybeans
23,78,22,21.68,21.85,6.12,114.1,kidneybeans
13,78,22,19.21,20.16,5.79,115.16,kidneybeans
21,69,26,22.24,22.17,5.98,85.25,kidneybeans
23,81,19,18.4,19.64,5.37,90.2,kidneybeans
17,55,20,21.9,18.88,6.16,116.12,kidneybeans
28,61,23,17.92,24.27,5.75,116.97,kidneybeans
10,59,22,18.2,22.99,5.29,122.86,kidneybeans
10,71,22,18.71,23.35,5.78,95.12,kidneybeans
11,51,21,16.97,21.89,5.62,119.48,kidneybeans
17,64,22,20.77,22.55,5.84,75.19,kidneybeans
26,71,15,19.61,21.48,5.66,112.58,kidneybeans
31,75,14,21.34,25.59,5.82,127.72,kidneybeans
36,75,20,22.19,22.03,5.71,98.87,kidneybeans
32,60,26,21.1,17.4,5.81,63.9,kidneybeans
25,74,17,20.35,27.46,5.55,84.72,kidneybeans
31,82,20,22.12,25.62,5.48,96.19,kidneybeans
29,80,22,18.34,27.56,5.54,99.2,kidneybeans
22,79,23,20.93,22.99,5.71,117.06,kidneybeans
0,64,20,17.8,22.76,5.64,141.01,kidneybeans
32,63,19,19.95,20.25,5.76,90.73,kidneybeans
10,71,22,18.49,24.29,5.51,110.96,kidneybeans
26,66,21,19.07,21.01,5.64,90.97,kidneybeans
18,54,18,19.53,20.83,5.63,104.66,kidneybeans
23,73,17,17.69,18.47,5.55,98.86,kidneybeans
13,56,18,20.46,23.39,5.53,97.64,kidneybeans
12,66,16,21.25,16.24,5.59,111.92,kidneybeans
21,88,21,24.19,47.05,4.81,147.39,pigeonpeas
13,74,17,27.29,41.64,6.57,141.37,pigeonpeas
34,73,21,28.99,51.94,4.74,142.43,pigeonpeas
26,66,14,27.52,65.04,6.32,147.85,pigeonpeas
27,64,13,24.46,63.63,5.56,143.32,pigeonpeas
17,82,26,35.47,46.41,5.85,111.48,pigeonpeas
31,57,20,23.86,42.11,5.28,134.2,pigeonpeas
15,62,23,23.83,50.21,6.31,136.57,pigeonpeas
14,65,24,28.38,42.69,5.94,121.84,pigeonpeas
25,70,18,24.76,39.13,5.97,180.12,pigeonpeas
14,70,11,25.65,47.69,5.25,125.99,pigeonpeas
14,69,19,19.87,26.79,5.4,160.84,pigeonpeas
0,63,17,32.56,44.15,5.89,152.93,pigeonpeas
2,73,20,29.48,87.26,4.66,192.52,pigeonpeas
17,69,19,26.22,42.3,5.86,111.47,pigeonpeas
26,63,15,26.12,60.57,5.43,158.36,pigeonpeas
14,73,22,34.17,46.24,6.03,151.85,pigeonpeas
30,61,22,27.02,47.36,5.75,155.71,pigeonpeas
19,68,26,31.15,56.69,5.47,127.17,pigeonpeas
27,74,25,25.59,45.7,4.88,139.59,pigeonpeas
27,63,22,27.03,51.24,5.13,151.53,pigeonpeas
0,65,13,31.92,55.77,5.93,187.43,pigeonpeas
12,80,23,26.87,59.36,5.15,128.79,pigeonpeas
15,62,15,31.98,45.41,5.88,135.14,pigeonpeas
5,69,12,27.46,34.32,6.69,172.18,pigeonpeas
20,77,16,29.6,50.0,5.83,181.21,pigeonpeas
25,69,13,24.34,46.77,5.75,121.14,pigeonpeas
39,79,22,27.95,45.88,5.22,151.34,pigeonpeas
22,57,21,27.16,28.92,5.27,139.06,pigeonpeas
35,71,14,29.4,32.53,6.24,137.62,pigeonpeas
19,77,14,22.81,42.16,6.22,111.42,pigeonpeas
0,63,22,31.9,43.37,5.49,178.25,pigeonpeas
5,63,20,29.27,42.9,5.72,87.19,pigeonpeas
14,70,16,27.91,52.47,5.53,153.66,pigeonpeas
12,65,22,28.25,42.13,5.81,167.27,pigeonpeas
3,76,18,29.19,59.97,5.01,131.66,pigeonpeas
17,60,26,24.7,42.44,5.8,119.35,pigeonpeas
16,69,18,27.37,42.71,4.94,157.44,pigeonpeas
34,67,20,30.12,35.31,6.55,154.46,pigeonpeas
33,61,27,30.41,53.53,5.82,143.19,pigeonpeas
29,68,12,23.79,46.14,5.85,147.99,pigeonpeas
29,51,20,21.34,55.6,5.65,159.89,pigeonpeas
13,77,24,29.74,46.7,5.99,131.73,pigeonpeas
26,80,24,25.15,51.61,5.05,163.71,pigeonpeas
23,52,15,26.71,44.99,5.1,159.12,pigeonpeas
22,65,16,31.37,64.55,5.46,134.1,pigeonpeas
23,64,19,30.29,28.91,6.36,151.22,pigeonpeas
16,66,19,21.64,62.95,5.72,160.48,pigeonpeas
27,58,21,26.76,56.47,4.64,146.92,pigeonpeas
15,70,21,25.22,40.88,5.64,126.98,pigeonpeas
26,64,8,26.39,37.61,4.88,118.46,pigeonpeas
20,77,21,25.58,52.56,5.47,132.03,pigeonpeas
10,52,18,28.25,47.03,5.49,125.76,pigeonpeas
24,56,23,24.19,40.48,4.97,136.86,pigeonpeas
27,71,23,29.53,36.96,5.53,129.9,pigeonpeas
30,57,23,30.83,66.3,5.5,167.21,pigeonpeas
38,62,13,21.12,55.13,4.76,140.09,pigeonpeas
23,68,21,28.48,60.79,5.22,132.48,pigeonpeas
13,73,23,29.28,59.83,5.11,191.08,pigeonpeas
32,72,27,21.9,42.76,5.33,167.44,pigeonpeas
11,73,25,30.13,50.84,5.21,128.23,pigeonpeas
29,73,19,26.24,27.74,5.16,197.19,pigeonpeas
9,68,24,23.31,49.85,6.17,149.71,pigeonpeas
42,53,24,27.1,55.72,5.92,131.07,pigeonpeas
21,52,22,28.74,54.39,6.23,158.59,pigeonpeas
21,59,17,31.85,62.36,5.58,150.55,pigeonpeas
12,76,22,34.49,39.22,5.51,155.19,pigeonpeas
25,65,16,30.78,55.21,5.24,183.29,pigeonpeas
29,68,20,29.64,39.38,5.72,95.59,pigeonpeas
27,54,26,26.54,45.88,5.39,142.2,pigeonpeas
31,47,25,28.88,35.93,5.16,191.31,pigeonpeas
12,57,24,28.88,38.62,5.81,123.76,pigeonpeas
28,75,22,28.97,65.61,5.7,119.85,pigeonpeas
23,83,15,26.43,52.16,5.67,124.84,pigeonpeas
28,85,20,24.54,32.51,5.83,177.0,pigeonpeas
23,66,17,23.88,56.35,6.16,110.76,pigeonpeas
32,71,25,23.0,34.34,5.63,161.97,pigeonpeas
34,72,19,24.11,60.3,5.22,190.11,pigeonpeas
17,79,22,27.22,42.81,5.53,160.11,pigeonpeas
20,62,19,27.98,26.71,5.93,124.91,pigeonpeas
10,53,12,22.96,40.91,6.68,136.25,pigeonpeas
21,70,20,27.43,36.05,6.43,194.58,pigeonpeas
6,58,18,24.32,53.06,5.34,203.53,pigeonpeas
29,68,24,31.57,42.36,5.29,151.35,pigeonpeas
26,68,13,24.89,47.26,5.66,198.71,pigeonpeas
8,71,25,35.65,43.96,5.95,163.64,pigeonpeas
21,66,21,18.84,54.82,5.76,143.84,pigeonpeas
36,61,18,34.67,39.68,5.42,145.72,pigeonpeas
26,68,14,25.84,41.93,5.66,160.05,pigeonpeas
23,52,24,28.58,61.85,5.92,176.93,pigeonpeas
23,77,22,27.36,70.72,6.14,163.74,pigeonpeas
9,56,21,28.21,41.86,5.77,189.12,pigeonpeas
25,57,19,24.88,44.12,5.49,137.46,pigeonpeas
9,65,17,17.45,68.53,6.24,139.99,pigeonpeas
20,57,26,34.34,49.57,6.21,153.78,pigeonpeas
9,63,20,26.11,45.81,5.65,147.38,pigeonpeas
20,58,17,23.2,57.78,4.65,178.24,pigeonpeas
31,64,9,26.44,47.36,5.19,136.52,pigeonpeas
32,72,16,22.11,44.73,5.59,161.8,pigeonpeas
15,71,27,30.55,47.52,5.61,140.48,pigeonpeas
30,42,20,28.2,50.09,6.11,54.33,mothbeans
20,52,17,30.54,47.84,7.66,33.62,mothbeans
24,51,16,28.95,60.78,5.69,56.13,mothbeans
1,40,26,26.94,46.06,6.7,71.78,mothbeans
6,39,25,31.82,52.48,6.18,72.06,mothbeans
33,53,16,28.0,52.14,6.97,65.61,mothbeans
28,39,25,28.73,57.22,7.53,39.98,mothbeans
20,43,13,28.79,68.17,5.88,50.78,mothbeans
26,48,19,25.5,54.5,6.42,29.2,mothbeans
30,55,20,28.56,59.55,6.91,60.14,mothbeans
18,58,21,28.49,45.48,6.94,42.78,mothbeans
15,41,15,32.35,61.09,7.76,38.87,mothbeans
